catagory,date_time,duration,distance_in_km,pickup_by_postcode,dropoff_by_postcode,fare_euro,service_fee_euro,tax,earnings_euro,third_parties,tip,promotion,hour,day_name
UberX,2023-12-07 15:26:00,0:14:01,4.32,1094,1071,14.28,3.57,0.75,9.96,0.0,0.0,0.0,15,Thursday
UberX,2023-12-07 15:44:00,0:15:50,3.62,1071,1011,11.58,2.9,0.61,8.07,0.0,0.0,0.0,15,Thursday
UberX,2023-12-07 16:16:00,0:15:28,3.1,1011,1019,10.49,2.62,0.55,7.32,0.0,0.0,0.0,16,Thursday
UberX,2023-12-07 16:40:00,0:06:38,2.95,1019,1012,10.36,2.59,0.54,7.23,0.0,0.0,0.0,16,Thursday
UberX,2023-12-07 17:00:00,0:18:54,3.03,1015,1071,14.04,3.51,0.74,14.79,0.0,0.0,5.0,17,Thursday
UberX,2023-12-07 17:24:00,0:42:13,9.15,1076,1012,24.65,6.16,1.29,22.2,0.0,0.0,5.0,17,Thursday
Priority,2023-12-07 18:13:00,0:18:04,9.0,1011,1061,26.62,6.66,1.4,23.56,0.0,0.0,5.0,18,Thursday
UberX,2023-12-07 18:39:00,0:10:00,5.27,1059,1081,12.99,3.25,0.68,14.06,0.0,0.0,5.0,18,Thursday
Saver,2023-12-08 15:32:00,0:17:32,10.6,1187,1083,21.05,4.0,0.84,16.21,0.0,0.0,0.0,15,Friday
Saver,2023-12-08 16:23:00,0:24:34,16.29,1073,1118,26.95,5.12,1.08,25.75,0.0,0.0,5.0,16,Friday
UberX,2023-12-08 16:56:00,0:22:12,16.81,1118,1052,33.36,8.26,2.45,22.65,5.9,0.0,0.0,16,Friday
Saver,2023-12-08 17:33:00,0:28:41,7.58,1013,1095,18.5,3.52,0.74,19.24,0.0,0.0,5.0,17,Friday
UberX,2023-12-08 18:09:00,0:13:22,4.1,1095,1072,15.01,3.75,0.79,15.47,0.0,0.0,5.0,18,Friday
Saver,2023-12-08 18:35:00,0:25:41,11.11,1073,1067,29.18,5.54,1.16,29.48,0.0,2.0,5.0,18,Friday
Saver,2023-12-08 19:13:00,0:25:37,9.2,1067,1012,16.97,3.22,0.68,13.07,0.0,0.0,0.0,19,Friday
UberX,2023-12-08 19:48:00,0:13:01,3.56,1012,1072,14.0,3.5,0.74,14.76,0.0,0.0,5.0,19,Friday
UberX,2023-12-08 20:13:00,0:29:19,11.73,1073,1067,29.54,7.39,1.55,20.6,0.0,0.0,0.0,20,Friday
UberX,2023-12-08 20:47:00,0:20:59,9.55,1067,1016,22.32,5.58,1.17,15.57,0.0,0.0,0.0,20,Friday
UberX,2023-12-08 22:21:00,0:08:24,2.02,1072,1017,10.88,2.72,0.57,7.59,0.0,0.0,0.0,22,Friday
UberX,2023-12-08 22:35:00,0:12:43,4.24,1017,1058,26.97,6.74,1.42,18.81,0.0,0.0,0.0,22,Friday
Saver,2023-12-08 23:02:00,0:13:34,7.27,1075,1185,15.67,2.98,0.63,14.06,0.0,2.0,0.0,23,Friday
Saver,2023-12-09 00:03:00,0:14:01,4.74,1076,1053,10.96,2.08,0.44,13.44,0.0,0.0,5.0,0,Saturday
Saver,2023-12-09 00:25:00,0:12:47,4.61,1016,1093,12.58,2.39,0.5,14.69,0.0,0.0,5.0,0,Saturday
UberX,2023-12-09 00:47:00,0:10:00,5.19,1093,1012,12.56,3.14,0.66,13.76,0.0,0.0,5.0,0,Saturday
UberX,2023-12-09 00:51:00,0:14:25,5.71,1019,1017,15.09,3.77,0.79,15.53,0.0,0.0,5.0,0,Saturday
UberX,2023-12-09 01:05:00,0:13:39,5.45,1017,1098,16.09,4.02,0.84,16.23,0.0,0.0,5.0,1,Saturday
Saver,2023-12-09 01:31:00,0:11:50,5.71,1092,1075,12.97,2.46,0.52,14.99,0.0,0.0,5.0,1,Saturday
Saver,2023-12-09 01:59:00,0:25:55,18.1,1075,1079,28.05,5.33,1.12,26.6,0.0,0.0,5.0,1,Saturday
Saver,2023-12-09 02:48:00,0:08:32,3.68,1072,1082,10.14,1.93,0.41,14.8,0.0,2.0,5.0,2,Saturday
Saver,2023-12-09 03:07:00,0:06:33,2.94,1079,1074,8.5,1.62,0.34,11.54,0.0,0.0,5.0,3,Saturday
UberX,2023-12-09 03:18:00,0:09:33,2.89,1072,1054,10.61,2.65,0.56,12.4,0.0,0.0,5.0,3,Saturday
Saver,2023-12-09 03:34:00,0:17:07,8.38,1016,1183,16.59,3.15,0.66,17.78,0.0,0.0,5.0,3,Saturday
Saver,2023-12-09 15:51:00,0:12:37,8.44,1432,1082,16.08,3.06,0.64,13.8,0.0,1.42,0.0,15,Saturday
Saver,2023-12-09 16:04:00,0:14:51,8.03,1183,1066,17.32,3.29,0.69,13.34,0.0,0.0,0.0,16,Saturday
UberX,2023-12-09 16:32:00,0:00:00,0.0,1075,1075,9.5,2.38,0.5,6.62,0.0,0.0,0.0,16,Saturday
UberX,2023-12-09 16:38:00,0:21:15,7.51,1062,1016,20.21,5.05,1.06,19.1,0.0,0.0,5.0,16,Saturday
UberX,2023-12-09 17:04:00,0:20:59,4.08,1016,1073,16.78,4.2,0.88,16.7,0.0,0.0,5.0,17,Saturday
